Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
APPROVED,Not Applicable,2024-04-04T13:28:38.957000Z,2024-04-04T13:29:28.433000Z,2024-04-12T09:38:21.294000Z,2024-04-04T13:29:29.000019Z,50,C8TRMCWU,383,32,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,Poland,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED
APPROVED,Not Applicable,2024-04-04T13:28:49.310000Z,2024-04-04T13:30:00.911000Z,2024-04-12T09:38:21.940000Z,2024-04-04T13:30:01.769178Z,72,C8TRMCWU,56,31,Male,Asian,United Kingdom,United Kingdom,United Kingdom,Gujarati,No,DATA_EXPIRED
APPROVED,Not Applicable,2024-04-04T13:28:45.369000Z,2024-04-04T13:30:20.002000Z,2024-04-12T09:38:22.615000Z,2024-04-04T13:30:20.723587Z,95,C8TRMCWU,517,27,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
APPROVED,Not Applicable,2024-04-04T13:29:01.296000Z,2024-04-04T13:30:33.589000Z,2024-04-12T09:38:23.074000Z,2024-04-04T13:30:34.084364Z,93,C8TRMCWU,93,25,Female,Black,DATA_EXPIRED,South Africa,South Africa,English,DATA_EXPIRED,DATA_EXPIRED
APPROVED,Not Applicable,2024-04-04T13:32:46.413000Z,2024-04-04T13:33:34.387000Z,2024-04-12T09:38:23.684000Z,2024-04-04T13:33:34.972525Z,48,C8TRMCWU,33,21,Female,White,South Africa,South Africa,South Africa,Afrikaans,Yes,Full-Time
APPROVED,Not Applicable,2024-04-04T13:29:23.699000Z,2024-04-04T13:31:06.863000Z,2024-04-12T09:38:24.420000Z,2024-04-04T13:31:07.529232Z,104,C8TRMCWU,5,33,Male,Other,"Venezuela, Bolivarian Republic of",Chile,"Venezuela, Bolivarian Republic of",DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED
APPROVED,Not Applicable,2024-04-04T13:29:16.622000Z,2024-04-04T13:31:14.955000Z,2024-04-12T09:38:24.765000Z,2024-04-04T13:31:15.875732Z,119,C8TRMCWU,124,22,Female,Black,South Africa,South Africa,South Africa,English,Yes,Unemployed (and job seeking)
APPROVED,Not Applicable,2024-04-04T13:29:13.944000Z,2024-04-04T13:30:09.607000Z,2024-04-12T09:38:25.300000Z,2024-04-04T13:30:10.634785Z,56,C8TRMCWU,299,29,Male,Mixed,Colombia,Spain,Colombia,Spanish,No,Unemployed (and job seeking)
APPROVED,Not Applicable,2024-04-04T13:29:36.616000Z,2024-04-04T13:32:46.627000Z,2024-04-12T09:38:25.848000Z,2024-04-04T13:32:47.473807Z,191,C8TRMCWU,0,39,Male,Mixed,South Africa,South Africa,South Africa,English,No,DATA_EXPIRED
APPROVED,Not Applicable,2024-04-04T13:29:14.592000Z,2024-04-04T13:31:03.319000Z,2024-04-12T09:38:26.470000Z,2024-04-04T13:31:04.326471Z,109,C8TRMCWU,136,25,Female,Black,South Africa,South Africa,South Africa,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED
