Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Primary language,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
APPROVED,Not Applicable,2024-10-03T21:34:34.547000Z,2024-10-03T21:36:10.463000Z,2024-10-04T00:49:54.075000Z,2024-10-03T21:36:12.500067Z,96,C7MPIYMZ,43,English,19,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
APPROVED,Not Applicable,2024-10-03T21:34:45.419000Z,2024-10-03T21:37:21.636000Z,2024-10-04T00:49:54.386000Z,2024-10-03T21:37:22.190014Z,157,C7MPIYMZ,403,English,35,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
APPROVED,Not Applicable,2024-10-03T21:34:45.798000Z,2024-10-03T21:36:38.607000Z,2024-10-04T00:49:54.712000Z,2024-10-03T21:36:39.354200Z,113,C7MPIYMZ,55,English,53,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
APPROVED,Not Applicable,2024-10-03T21:34:46.791000Z,2024-10-03T21:36:33.679000Z,2024-10-04T00:49:54.990000Z,2024-10-03T21:36:34.354449Z,107,C7MPIYMZ,1,English,21,Male,Black,South Africa,South Africa,South Africa,English,No,Full-Time
APPROVED,Not Applicable,2024-10-03T21:34:47.007000Z,2024-10-03T21:37:24.323000Z,2024-10-04T00:49:55.271000Z,2024-10-03T21:37:26.157932Z,158,C7MPIYMZ,1519,English,35,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
APPROVED,Not Applicable,2024-10-03T21:34:52.586000Z,2024-10-03T21:35:39.704000Z,2024-10-04T00:49:55.561000Z,2024-10-03T21:35:40.962855Z,48,C7MPIYMZ,1304,English,27,Male,White,United States,United States,United States,English,Yes,DATA_EXPIRED
APPROVED,Not Applicable,2024-10-03T21:34:54.901000Z,2024-10-03T21:36:38.295000Z,2024-10-04T00:49:55.888000Z,2024-10-03T21:36:38.861705Z,104,C7MPIYMZ,1992,English,36,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
APPROVED,Not Applicable,2024-10-03T21:34:52.869000Z,2024-10-03T21:38:06.460000Z,2024-10-04T00:49:56.164000Z,2024-10-03T21:38:10.957034Z,194,C7MPIYMZ,2618,English,41,Male,Asian,Canada,Canada,Canada,English,No,Full-Time
APPROVED,Not Applicable,2024-10-03T21:35:01.949000Z,2024-10-03T21:36:51.348000Z,2024-10-04T00:49:56.490000Z,2024-10-03T21:36:52.765451Z,110,C7MPIYMZ,1759,English,47,Male,Asian,Korea,United States,United States,English,No,Full-Time
APPROVED,Not Applicable,2024-10-03T21:34:59.493000Z,2024-10-03T21:40:14.211000Z,2024-10-04T00:49:56.840000Z,2024-10-03T21:42:12.701361Z,315,C7MPIYMZ,2223,"English, Welsh",64,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
APPROVED,Not Applicable,2024-10-03T21:35:04.492000Z,2024-10-03T21:40:52.951000Z,2024-10-04T00:49:57.123000Z,2024-10-03T21:42:25.313141Z,349,C7MPIYMZ,10,English,20,Male,Black,South Africa,South Africa,South Africa,English,Yes,Other
APPROVED,Not Applicable,2024-10-03T21:35:04.824000Z,2024-10-03T21:37:30.147000Z,2024-10-04T00:49:57.423000Z,2024-10-03T21:37:30.921169Z,146,C7MPIYMZ,2204,English,76,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,Part-Time
APPROVED,Not Applicable,2024-10-03T21:35:12.345000Z,2024-10-03T21:36:55.050000Z,2024-10-04T00:49:57.763000Z,2024-10-03T21:36:58.572808Z,103,C7MPIYMZ,65,English,32,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
