"StartDate","EndDate","Status","Progress","Duration..in.seconds.","Finished","RecordedDate","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","DistributionChannel","UserLanguage","consent","id","com.1","com.2","rel.int.vien","rel.share.vien","rel.surp.vien","rel.mem.vien","rel.eng.vien","irr.int.vien","irr.share.vien","irr.surp.vien","irr.mem.vien","irr.eng.vien","rel.int.bike","rel.share.bike","rel.surp.bike","rel.mem.bike","rel.eng.bike","irr.int.bike","irr.share.bike","irr.surp.bike","irr.mem.bike","irr.eng.bike","irr.int.food","irr.share.food","irr.surp.food","irr.mem.food","irr.eng.food","rel.int.food","rel.share.food","rel.surp.food","rel.mem.food","rel.eng.food","rel.int.film","rel.share.film","rel.surp.film","rel.mem.film","rel.eng.film","irr.int.film","irr.share.film","irr.surp.film","irr.mem.film","irr.eng.film","FL_524_DO","viennarelevant_DO","viennairrelevant_DO","bikerelevant_DO","bikeirrelevant_DO","merrickrelevant_DO","merrickirrelevant_DO","blockbusterrelevant_DO","blockbusterirrelevant_DO"
"10/3/2024 15:12","10/3/2024 15:15","0","100","173","1","10/3/2024 15:15","","","","","anonymous","EN","1",278,"7","1","","","","","","","","","","","3","1","5","3","4","","","","","","","","","","","","","","","","","","","","","","","","","","bikerelevant","","","Q820|rel.mem.bike|rel.surp.bike|rel.eng.bike|rel.share.bike|rel.int.bike","","","","",""
"10/3/2024 15:12","10/3/2024 15:15","0","100","146","1","10/3/2024 15:15","","","","","anonymous","EN","1",279,"7","1","","","","","","3","1","3","2","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","viennairrelevant","","Q539|irr.int.vien|irr.eng.vien|irr.mem.vien|irr.share.vien|irr.surp.vien","","","","","",""
"10/3/2024 15:11","10/3/2024 15:15","0","100","261","1","10/3/2024 15:15","","","","","anonymous","EN","1",280,"7","1","","","","","","","","","","","","","","","","","","","","","5","4","6","6","6","","","","","","","","","","","","","","","","merrickrelevant","","","","","Q826|irr.share.food|irr.int.food|irr.surp.food|irr.mem.food|irr.eng.food","","",""
"10/3/2024 15:13","10/3/2024 15:15","0","100","138","1","10/3/2024 15:15","","","","","anonymous","EN","1",281,"7","1","","","","","","","","","","","","","","","","","","","","","7","7","7","7","7","","","","","","","","","","","","","","","","merrickrelevant","","","","","Q826|irr.mem.food|irr.eng.food|irr.share.food|irr.surp.food|irr.int.food","","",""
"10/3/2024 15:12","10/3/2024 15:15","0","100","171","1","10/3/2024 15:15","","","","","anonymous","EN","1",282,"7","1","","","","","","","","","","","","","","","","6","4","6","6","6","","","","","","","","","","","","","","","","","","","","","bikeirrelevant","","","","Q814|irr.int.bike|irr.surp.bike|irr.mem.bike|irr.share.bike|irr.eng.bike","","","",""
"10/3/2024 15:13","10/3/2024 15:15","0","100","131","1","10/3/2024 15:15","","","","","anonymous","EN","1",283,"7","1","","","","","","","","","","","","","","","","","","","","","","","","","","4","3","3","5","3","","","","","","","","","","","merrickirrelevant","","","","","","Q832|rel.int.food|rel.mem.food|rel.share.food|rel.surp.food|rel.eng.food","",""
"10/3/2024 15:14","10/3/2024 15:15","0","100","81","1","10/3/2024 15:15","","","","","anonymous","EN","1",284,"7","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","4","6","5","3","","","","","","blockbusterrelevant","","","","","","","Q838|rel.int.film|rel.mem.film|rel.eng.film|rel.surp.film|rel.share.film",""
"10/3/2024 15:13","10/3/2024 15:15","0","100","126","1","10/3/2024 15:15","","","","","anonymous","EN","1",285,"7","1","","","","","","","","","","","","","","","","4","2","5","4","3","","","","","","","","","","","","","","","","","","","","","bikeirrelevant","","","","Q814|irr.mem.bike|irr.surp.bike|irr.int.bike|irr.eng.bike|irr.share.bike","","","",""
"10/3/2024 15:14","10/3/2024 15:15","0","100","83","1","10/3/2024 15:15","","","","","anonymous","EN","1",286,"7","1","","","","","","","","","","","5","5","5","5","4","","","","","","","","","","","","","","","","","","","","","","","","","","bikerelevant","","","Q820|rel.mem.bike|rel.share.bike|rel.eng.bike|rel.int.bike|rel.surp.bike","","","","",""
"10/3/2024 15:14","10/3/2024 15:15","0","100","59","1","10/3/2024 15:15","","","","","anonymous","EN","1",287,"7","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","3","3","4","4","blockbusterirrelevant","","","","","","","","Q844|irr.int.film|irr.mem.film|irr.share.film|irr.surp.film|irr.eng.film"
