Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Primary language,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
APPROVED,Not Applicable,2024-09-16T14:39:26.552000Z,2024-09-16T14:45:35.726000Z,2024-09-26T05:20:14.353000Z,2024-09-16T14:48:52.996758Z,370,C180QPRS,37,English,28,Female,Black,Kenya,Kenya,Kenya,English,No,Part-Time
APPROVED,Not Applicable,2024-09-16T14:39:41.350000Z,2024-09-16T14:47:54.709000Z,2024-09-26T05:20:15.385000Z,2024-09-16T14:49:20.333308Z,494,C180QPRS,0,English,32,Female,Black,Malawi,United Kingdom,Malawi,English,No,Full-Time
APPROVED,Not Applicable,2024-09-16T14:39:35.820000Z,2024-09-16T14:40:10.704000Z,2024-09-26T05:20:15.759000Z,2024-09-16T14:41:10.763375Z,35,C180QPRS,1883,English,52,Female,Black,Nigeria,United Kingdom,United Kingdom,English,No,Full-Time
APPROVED,Not Applicable,2024-09-16T14:40:58.202000Z,2024-09-16T14:48:33.348000Z,2024-09-26T05:20:16.078000Z,2024-09-16T14:49:25.219596Z,456,C180QPRS,19,"English, Other",23,Female,Black,South Africa,South Africa,South Africa,English,Yes,Unemployed (and job seeking)
APPROVED,Not Applicable,2024-09-16T14:40:04.373000Z,2024-09-16T14:42:24.981000Z,2024-09-26T05:20:16.449000Z,2024-09-16T14:42:26.420051Z,141,C180QPRS,221,English,23,Female,Black,South Africa,South Africa,South Africa,English,No,Unemployed (and job seeking)
APPROVED,Not Applicable,2024-09-16T14:39:46.596000Z,2024-09-16T14:42:09.376000Z,2024-09-26T05:20:16.832000Z,2024-09-16T14:42:10.060765Z,143,C180QPRS,40,English,24,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
APPROVED,Not Applicable,2024-09-16T14:39:49.291000Z,2024-09-16T14:57:04.238000Z,2024-09-26T05:20:26.338000Z,2024-09-16T14:57:07.522000Z,1035,C180QPRS,48,"Catalan, English, Spanish",35,Male,White,Spain,Spain,Spain,Spanish,Yes,Part-Time
APPROVED,Not Applicable,2024-09-16T14:39:50.192000Z,2024-09-16T14:46:57.253000Z,2024-09-26T05:20:17.154000Z,2024-09-16T14:49:09.422736Z,428,C180QPRS,1689,English,32,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
APPROVED,Not Applicable,2024-09-16T14:40:12.168000Z,2024-09-16T14:46:28.314000Z,2024-09-26T05:20:26.703000Z,2024-09-16T14:49:02.565031Z,377,C180QPRS,300,English,29,Male,Black,South Africa,South Africa,South Africa,English,No,Unemployed (and job seeking)
APPROVED,Not Applicable,2024-09-16T14:39:59.120000Z,2024-09-16T14:44:25.694000Z,2024-09-26T05:20:17.554000Z,2024-09-16T14:44:26.315805Z,267,C180QPRS,453,English,60,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
APPROVED,Not Applicable,2024-09-16T14:40:05.934000Z,2024-09-16T14:42:29.836000Z,2024-09-26T05:20:17.952000Z,2024-09-16T14:45:01.366694Z,144,C180QPRS,48,English,20,Female,Black,South Africa,South Africa,South Africa,English,Yes,Unemployed (and job seeking)
APPROVED,Not Applicable,2024-09-16T14:40:37.991000Z,2024-09-16T14:44:23.088000Z,2024-09-26T05:20:18.357000Z,2024-09-16T14:44:24.420164Z,226,C180QPRS,131,"Afrikaans, English",41,Female,Mixed,South Africa,South Africa,South Africa,English,Yes,Part-Time
APPROVED,Not Applicable,2024-09-16T14:40:14.723000Z,2024-09-16T14:45:30.682000Z,2024-09-26T05:20:18.756000Z,2024-09-16T14:48:49.088822Z,316,C180QPRS,3,English,46,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time
APPROVED,Not Applicable,2024-09-16T14:40:01.055000Z,2024-09-16T14:41:11.889000Z,2024-09-26T05:20:19.153000Z,2024-09-17T16:08:38.773113Z,71,C180QPRS,24,English,24,Female,White,Australia,Australia,Australia,English,No,Unemployed (and job seeking)
APPROVED,Not Applicable,2024-09-16T14:40:06.390000Z,2024-09-16T14:48:31.590000Z,2024-09-26T05:20:19.510000Z,2024-09-16T14:49:24.967918Z,506,C180QPRS,4,English,30,Female,Black,Zimbabwe,South Africa,Zimbabwe,English,No,Part-Time
