Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
APPROVED,Not Applicable,2025-12-22T15:11:36.954000Z,2025-12-22T15:15:31.067000Z,2025-12-23T21:37:33.645000Z,2025-12-22T15:15:31.470239Z,235,C8TRMCWU,224,45,Female,Prefer not to say,Ethiopia,Canada,Canada,English,No,Full-Time
APPROVED,Not Applicable,2025-12-22T15:11:38.135000Z,2025-12-22T15:12:56.111000Z,2025-12-23T21:37:33.897000Z,2025-12-22T15:12:56.517411Z,78,C8TRMCWU,5078,32,Female,White,United States,United States,United States,English,No,Full-Time
APPROVED,Not Applicable,2025-12-22T15:11:40.356000Z,2025-12-22T15:13:18.329000Z,2025-12-23T21:36:53.309000Z,2025-12-22T15:13:18.752066Z,98,C8TRMCWU,9461,45,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
APPROVED,Not Applicable,2025-12-22T15:11:42.092000Z,2025-12-22T15:14:02.491000Z,2025-12-23T21:37:34.156000Z,2025-12-22T15:14:02.915190Z,141,C8TRMCWU,2178,25,Female,Asian,Canada,Canada,Canada,English,No,Part-Time
APPROVED,Not Applicable,2025-12-22T15:11:44.890000Z,2025-12-22T15:13:22.916000Z,2025-12-23T21:37:34.400000Z,2025-12-22T15:13:23.365408Z,99,C8TRMCWU,7206,51,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
APPROVED,Not Applicable,2025-12-22T15:11:49.105000Z,2025-12-22T15:15:23.677000Z,2025-12-23T21:36:53.560000Z,2025-12-22T15:15:24.067382Z,215,C8TRMCWU,1147,69,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
APPROVED,Not Applicable,2025-12-22T15:11:48.707000Z,2025-12-22T15:14:49.340000Z,2025-12-23T21:37:34.717000Z,2025-12-22T15:14:49.758776Z,181,C8TRMCWU,4890,62,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
APPROVED,Not Applicable,2025-12-22T15:11:44.674000Z,2025-12-22T15:13:29.056000Z,2025-12-23T21:36:53.818000Z,2025-12-22T15:13:29.470920Z,105,C8TRMCWU,1630,39,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
APPROVED,Not Applicable,2025-12-22T15:11:42.024000Z,2025-12-22T15:14:45.670000Z,2025-12-23T21:37:34.982000Z,2025-12-22T15:14:46.126955Z,184,C8TRMCWU,368,27,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time
APPROVED,Not Applicable,2025-12-22T15:11:50.373000Z,2025-12-22T15:14:04.010000Z,2025-12-23T21:37:35.215000Z,2025-12-22T15:14:04.421933Z,134,C8TRMCWU,265,44,Female,Other,Canada,Canada,Canada,English,No,Full-Time
