Primary language,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
English,32,Male,Black,Nigeria,United Kingdom,Nigeria,English,Yes,Full-Time
"Portuguese, English",23,Male,White,United Kingdom,Portugal,Portugal,Portuguese,Yes,Part-Time
English,37,Male,White,United States,United States,United States,English,No,Full-Time
"English, Lithuanian",30,Female,White,Lithuania,United Kingdom,Lithuania,Lithuanian,No,Part-Time
"Greek, English",34,Male,White,Greece,Greece,Greece,Greek,No,Full-Time
"Portuguese, English",23,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Full-Time
English,75,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
English,25,Male,Black,South Africa,South Africa,South Africa,English,Yes,Unemployed (and job seeking)
English,39,Male,White,United States,Portugal,Portugal,Portuguese,No,Full-Time
English,63,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
"English, Afrikaans",25,Male,Black,South Africa,South Africa,South Africa,English,Yes,Part-Time
"English, Chinese, Mandarin, German",40,Male,Black,South Africa,South Africa,South Africa,English,No,Full-Time
English,38,Male,White,Canada,Canada,Canada,English,No,Full-Time
"English, Turkish",25,Male,White,Turkey,DATA_EXPIRED,Turkey,English,Yes,Part-Time
English,24,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
English,30,Female,White,United States,United States,United States,English,No,Full-Time
English,63,Male,White,United States,United States,United States,English,No,Full-Time
English,61,Male,White,Ireland,Ireland,Ireland,English,No,Full-Time
"Afrikaans, Arabic, English",55,Male,Asian,South Africa,South Africa,South Africa,English,No,Full-Time
English,42,Female,Mixed,Nicaragua,United States,United States,Spanish,No,Unemployed (and job seeking)
English,45,Male,White,United States,United States,United States,English,No,Full-Time
English,41,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
"Laotian, Slovak, Slovenian, English",51,Male,White,Spain,United Kingdom,United Kingdom,English,No,Full-Time
"English, Hindi, Malayalam",44,Male,Asian,India,Canada,India,English,No,Full-Time
"English, Greek",27,Male,White,Greece,Greece,Greece,Other,Yes,Other
English,31,Male,Black,Nigeria,United Kingdom,Nigeria,English,Yes,Part-Time
English,29,Male,Asian,Pakistan,United States,United States,Urdu,No,Full-Time
English,21,Male,Black,United States,United States,United States,English,No,Unemployed (and job seeking)
English,41,Male,Black,Nigeria,Poland,Nigeria,English,Yes,Full-Time
English,61,Male,Mixed,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
"English, Malayalam",30,Male,Asian,India,Canada,India,Malayalam,No,Full-Time
"Hungarian, English",27,Male,White,Hungary,Hungary,Hungary,Hungarian,No,DATA_EXPIRED
English,26,Male,White,United States,United States,United States,English,No,Full-Time
English,32,Male,Asian,Korea,Canada,Canada,English,No,Other
English,57,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
English,35,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
English,52,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
English,24,Male,Black,United States,United States,United States,English,Yes,Full-Time
English,53,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking)
English,29,Male,Black,United Kingdom,United States,United States,English,No,Full-Time
English,29,Male,Black,South Africa,South Africa,South Africa,English,Yes,Due to start a new job within the next month
English,39,Male,Other,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
English,53,Male,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time
English,23,Male,Black,South Africa,South Africa,South Africa,English,DATA_EXPIRED,DATA_EXPIRED
English,31,Male,Other,United Kingdom,Canada,Canada,English,No,Full-Time
English,37,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
English,62,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
English,36,Male,Black,Nigeria,United Kingdom,Nigeria,English,Yes,Part-Time
English,57,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
English,50,Male,Black,United States,United States,United States,English,No,Full-Time
"Spanish, English",24,Male,White,Spain,Spain,Spain,Spanish,Yes,Part-Time
English,70,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
English,30,Male,Black,Nigeria,United Kingdom,Nigeria,English,Yes,Full-Time
English,29,Male,White,United States,United States,United States,English,No,Full-Time
English,68,Male,White,Canada,Canada,Canada,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
English,55,Male,White,United States,United States,United States,English,No,Full-Time
English,35,Male,Asian,Canada,Canada,Canada,English,Yes,Due to start a new job within the next month
English,51,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
English,46,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
English,33,Male,White,United States,United States,United States,English,Yes,Full-Time
English,25,Male,Black,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
English,22,Male,Black,South Africa,South Africa,South Africa,English,Yes,Part-Time
English,28,Male,Black,United States,United States,United States,English,No,Part-Time
English,30,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
English,36,Male,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
English,35,Male,White,United States,United States,United States,English,No,Full-Time
English,49,Male,White,United States,United States,United States,English,No,Full-Time
English,33,Male,Black,South Africa,South Africa,South Africa,English,Yes,Due to start a new job within the next month
English,45,Male,White,United States,United States,United States,English,No,Part-Time
English,31,Male,Black,United States,United States,United States,English,No,Full-Time
"Portuguese, English",37,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
"English, Polish",23,Male,White,Poland,Poland,Poland,English,Yes,Full-Time
"Polish, English",22,Male,White,Poland,Poland,Poland,Polish,Yes,Part-Time
English,49,Male,White,United States,United States,United States,English,No,Full-Time
English,53,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
English,26,Female,Asian,United States,United States,United States,English,No,Full-Time
"French, English",31,Male,White,France,France,France,French,No,Full-Time
English,48,Female,Other,United States,United States,United States,English,Yes,Full-Time
English,26,Male,White,Canada,Canada,Canada,English,No,Part-Time
"English, French, German, Swahili, Spanish",40,Male,Black,Kenya,Kenya,Kenya,English,No,Full-Time
English,63,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
English,25,Male,Asian,Canada,Canada,Canada,Cantonese,DATA_EXPIRED,DATA_EXPIRED
English,35,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
English,51,Male,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
"Portuguese, English",29,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
English,64,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
English,50,Male,White,United States,United States,United States,English,No,Part-Time
English,37,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
English,42,Male,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
English,29,Female,Mixed,Canada,Canada,Canada,English,No,Full-Time
"English, French",20,Male,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
English,20,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
"Cantonese, English",31,Female,Black,United States,United States,United States,English,No,Full-Time
English,30,Female,Black,United States,United States,United States,English,No,Full-Time
English,32,Female,Black,Zimbabwe,South Africa,Zimbabwe,English,No,Full-Time
"Greek, English",54,Male,White,Germany,Greece,Greece,Greek,No,Part-Time
"Spanish, English",28,Male,Other,Mexico,Mexico,Mexico,Spanish,Yes,Unemployed (and job seeking)
English,45,Male,Black,South Africa,South Africa,South Africa,English,No,Full-Time
English,28,Female,Asian,United States,United States,United States,English,No,Unemployed (and job seeking)
English,51,Female,White,United States,United States,Italy,English,No,Full-Time
"Dutch, English, German, Hebrew",25,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
English,47,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
English,63,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
"Latvian, English",23,Female,White,Latvia,Latvia,Latvia,Latvian,No,Part-Time
"Afrikaans, English",28,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
English,44,Female,White,United States,United States,United States,English,DATA_EXPIRED,Part-Time
English,40,Female,White,United States,United States,United States,English,No,Part-Time
English,31,Male,Black,Zimbabwe,South Africa,Zimbabwe,Other,No,Full-Time
English,32,Female,White,Canada,Canada,Canada,English,No,Part-Time
English,58,Female,White,United States,United States,United States,English,No,Other
English,25,Female,Black,United States,United States,United States,English,Yes,Part-Time
English,21,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Part-Time
English,18,Female,White,United States,United States,United States,English,Yes,Other
English,31,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
"Esperanto, English",25,Female,Asian,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
English,18,Female,White,United States,United States,United States,English,Yes,Full-Time
English,33,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Other
English,36,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
English,35,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
"Hungarian, English",30,Female,White,Hungary,Germany,Hungary,Hungarian,DATA_EXPIRED,DATA_EXPIRED
English,59,Female,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time
English,51,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
English,20,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
English,43,Female,White,United States,United States,United States,English,No,Full-Time
English,32,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
English,28,Female,Black,South Africa,South Africa,South Africa,English,DATA_EXPIRED,DATA_EXPIRED
English,23,Female,White,United States,United States,United States,English,No,Part-Time
English,51,Female,White,United States,United States,United States,English,No,Full-Time
English,35,Female,Black,United States,United States,United States,English,DATA_EXPIRED,Full-Time
"English, Italian",32,Female,White,Italy,Italy,Italy,Italian,Yes,Unemployed (and job seeking)
English,69,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
English,48,Female,White,United States,United States,United States,English,No,Part-Time
English,41,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
English,31,Female,White,United States,United States,United States,English,Yes,Full-Time
English,28,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
English,30,Female,Asian,United Kingdom,United Kingdom,United Kingdom,English,No,Due to start a new job within the next month
English,24,Female,Black,Nigeria,United Kingdom,Nigeria,English,Yes,Full-Time
English,29,Female,White,Australia,Australia,Australia,Other,No,DATA_EXPIRED
English,49,Female,White,United States,United States,United States,English,No,Full-Time
English,34,Female,Prefer not to say,United States,United States,United States,English,No,Full-Time
"English, Italian, French, Spanish",45,Female,White,Italy,Italy,Italy,English,No,Full-Time
English,50,Female,White,Ireland,Ireland,Ireland,English,No,DATA_EXPIRED
English,61,Female,Black,United States,United States,United States,English,No,Unemployed (and job seeking)
English,28,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
English,71,Female,White,United States,United States,United States,English,No,Part-Time
English,50,Female,Asian,India,United Kingdom,United Kingdom,English,No,Part-Time
English,64,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
"English, French",23,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time
English,65,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
English,52,Female,Asian,DATA_EXPIRED,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
English,27,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
English,20,Female,Asian,India,United Kingdom,India,Hindi,Yes,Full-Time
English,65,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
English,45,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
English,36,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
English,45,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time
English,36,Female,White,United States,United States,United States,English,No,Full-Time
English,64,Female,White,United States,United States,United States,English,No,Part-Time
"Swedish, English",63,Female,White,Turkey,Sweden,Sweden,Turkish,No,Full-Time
English,43,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time
English,45,Female,White,United States,United States,United States,English,Yes,Full-Time
English,47,Female,White,United States,United States,United States,English,No,Full-Time
"Polish, English",20,Female,White,Poland,Poland,Poland,Polish,DATA_EXPIRED,DATA_EXPIRED
English,20,Female,Black,United States,United States,United States,English,Yes,Full-Time
English,25,Female,Black,United States,United States,United States,English,No,Full-Time
English,31,Female,Mixed,United States,United States,United States,English,No,Part-Time
English,20,Female,Asian,United States,United States,India,English,Yes,Other
English,34,Female,White,United Kingdom,United Kingdom,France,English,DATA_EXPIRED,DATA_EXPIRED
English,56,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
English,31,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time
English,52,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
English,25,Female,Black,United States,United States,United States,English,Yes,Full-Time
English,25,Female,Black,Nigeria,United Kingdom,Nigeria,English,Yes,Full-Time
English,34,Female,White,United States,United States,United States,English,No,Full-Time
"English, French",31,Female,Black,Senegal,Canada,Canada,English,Yes,Full-Time
English,32,Female,White,United States,United States,United States,English,Yes,Part-Time
English,30,Female,Black,United States,United States,United States,English,No,Part-Time
English,49,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
English,51,Female,Black,United States,United States,United States,English,No,DATA_EXPIRED
English,31,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
English,33,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,Full-Time
English,28,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
English,36,Female,Black,South Africa,South Africa,South Africa,English,Yes,Other
"Armenian, English",24,Female,Other,Syrian Arab Republic,Canada,Armenia,Armenian,No,Part-Time
English,36,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
English,18,Female,Asian,Canada,Canada,Canada,English,Yes,Part-Time
English,43,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
English,54,Female,White,United States,United States,United States,English,No,Part-Time
English,23,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time
"English, French",34,Female,White,Canada,United Kingdom,Canada,French,No,Full-Time
English,28,Female,White,United States,United States,United States,English,No,Full-Time
English,23,Female,Black,South Africa,South Africa,South Africa,English,Yes,Part-Time
